epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1904,1.43935,1.94585,1.06888,0.27104,0.66622,0.53412,0.30475,1.45899,2.5631,1.05357,0.0686932,0.00164773,0.00164773
2,52.66,1.14864,0.96323,0.95055,0.64341,0.74049,0.71654,0.41731,1.26519,1.10793,0.98412,0.0370046,0.00329252,0.00329252
3,77.9522,1.05371,0.81966,0.9172,0.7002,0.74438,0.74709,0.45012,1.12414,0.9453,0.93961,0.0052941,0.00491531,0.00491531
4,102.856,0.99234,0.74605,0.89887,0.73269,0.75476,0.79569,0.49273,1.09235,0.85199,0.93086,0.004901,0.004901,0.004901
5,129.873,0.90928,0.66888,0.87834,0.73971,0.80162,0.819,0.51661,1.04845,0.75937,0.9169,0.004868,0.004868,0.004868
6,155.184,0.85492,0.61841,0.86399,0.73375,0.81178,0.83308,0.52065,1.08234,0.8565,0.91941,0.004835,0.004835,0.004835
7,180.518,0.82098,0.57425,0.85434,0.79913,0.84513,0.88605,0.60337,0.89695,0.6667,0.88386,0.004802,0.004802,0.004802
8,211.077,0.75063,0.53396,0.83751,0.809,0.85106,0.88645,0.61077,0.89716,0.68115,0.88082,0.004769,0.004769,0.004769
9,243.024,0.69842,0.50255,0.8259,0.81902,0.84785,0.88842,0.62634,0.84837,0.62905,0.86523,0.004736,0.004736,0.004736
10,270.073,0.67692,0.48553,0.82143,0.84105,0.85778,0.89966,0.63975,0.82952,0.59866,0.86402,0.004703,0.004703,0.004703
11,295.41,0.66816,0.47244,0.81773,0.86289,0.86542,0.92197,0.67234,0.76827,0.56824,0.84511,0.00467,0.00467,0.00467
12,320.954,0.61113,0.43365,0.80691,0.86203,0.87786,0.92319,0.68723,0.74411,0.54489,0.84524,0.004637,0.004637,0.004637
13,346.576,0.57362,0.40741,0.8005,0.87328,0.89232,0.93379,0.69402,0.73828,0.50516,0.83835,0.004604,0.004604,0.004604
14,372.035,0.58361,0.40305,0.80123,0.85235,0.88721,0.93385,0.68873,0.7751,0.52665,0.84398,0.004571,0.004571,0.004571
15,397.525,0.54557,0.37721,0.7945,0.89251,0.91085,0.94821,0.72971,0.66675,0.46673,0.82527,0.004538,0.004538,0.004538
16,422.764,0.50583,0.35071,0.7888,0.88841,0.91573,0.9465,0.73497,0.64294,0.44506,0.82219,0.004505,0.004505,0.004505
