epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4031,1.36938,1.82481,1.04378,0.21036,0.76222,0.57364,0.34105,1.2916,2.48971,1.01015,0.0686932,0.00164773,0.00164773
2,50.258,1.09191,0.90948,0.93351,0.6364,0.71556,0.72919,0.43231,1.21194,1.04034,0.97504,0.0370046,0.00329252,0.00329252
3,75.0354,1.00379,0.77775,0.90649,0.74739,0.76474,0.78497,0.50348,1.05514,0.98426,0.92347,0.0052941,0.00491531,0.00491531
4,99.8288,0.95424,0.69531,0.88746,0.73299,0.82017,0.82002,0.53007,1.03956,0.78425,0.92254,0.004901,0.004901,0.004901
5,124.713,0.84867,0.6227,0.86208,0.79044,0.86228,0.87823,0.59763,0.91804,0.67338,0.88324,0.004868,0.004868,0.004868
6,149.591,0.80097,0.59085,0.84945,0.76843,0.82769,0.86969,0.57864,0.99002,0.76054,0.89585,0.004835,0.004835,0.004835
7,174.3,0.78701,0.56426,0.84632,0.78704,0.86715,0.90039,0.62127,0.88297,0.6202,0.86994,0.004802,0.004802,0.004802
8,199.089,0.70895,0.50612,0.82943,0.81946,0.87933,0.90345,0.63472,0.86394,0.61045,0.86569,0.004769,0.004769,0.004769
9,224.174,0.65235,0.47448,0.81714,0.78324,0.85388,0.87088,0.58868,0.97849,0.71244,0.90523,0.004736,0.004736,0.004736
10,249.085,0.65023,0.45941,0.81539,0.84049,0.86591,0.92186,0.68716,0.73967,0.54829,0.84157,0.004703,0.004703,0.004703
11,274.537,0.63029,0.43984,0.8111,0.84507,0.89915,0.92452,0.6855,0.76639,0.5561,0.84882,0.00467,0.00467,0.00467
12,299.682,0.59353,0.41995,0.80422,0.88936,0.89877,0.94713,0.72282,0.70599,0.4735,0.83386,0.004637,0.004637,0.004637
13,324.799,0.55714,0.38837,0.79834,0.87746,0.91179,0.9468,0.72756,0.68782,0.48796,0.83478,0.004604,0.004604,0.004604
14,350.089,0.52794,0.36748,0.79402,0.89006,0.91242,0.94902,0.74345,0.66004,0.45119,0.82791,0.004571,0.004571,0.004571
15,375.026,0.507,0.35151,0.78951,0.89639,0.92363,0.95454,0.74696,0.65448,0.44751,0.82293,0.004538,0.004538,0.004538
16,400.533,0.48956,0.33759,0.7867,0.88908,0.93526,0.96658,0.76909,0.62276,0.42459,0.81822,0.004505,0.004505,0.004505
17,425.578,0.49553,0.33769,0.78655,0.89373,0.93518,0.95589,0.74625,0.65163,0.43898,0.82006,0.004472,0.004472,0.004472
18,450.693,0.4648,0.32425,0.7824,0.91281,0.93656,0.96392,0.78148,0.58673,0.40313,0.81243,0.004439,0.004439,0.004439
19,475.956,0.45177,0.31745,0.78056,0.89688,0.92947,0.9637,0.77906,0.60786,0.41332,0.81461,0.004406,0.004406,0.004406
