epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.2666,1.78805,4.33848,1.35194,0,0,0,0,2.33569,4.40385,1.5074,0.09703,3e-05,3e-05
2,2.29812,1.52257,3.58399,1.16619,0.00126,0.1086,0.01345,0.00841,2.81894,4.28381,1.63943,0.0930695,6.9538e-05,6.9538e-05
3,3.31601,1.4118,2.91032,1.0851,0.00169,0.10407,0.0054,0.00253,2.99138,4.28816,1.72166,0.0891085,0.000108548,0.000108548
4,4.31077,1.27446,2.57013,1.03209,0.00162,0.10407,0.00908,0.0035,2.86451,4.05044,1.66409,0.085147,0.00014703,0.00014703
5,5.31787,1.16643,2.34457,0.99401,0.00033,0.05882,0.01152,0.00352,2.72108,3.95836,1.60107,0.081185,0.000184984,0.000184984
6,6.33571,1.10846,2.19518,0.97868,0.00026,0.0543,0.01401,0.00287,2.65256,3.94852,1.59489,0.0772224,0.00022241,0.00022241
7,7.40887,1.04984,2.10159,0.95596,0.00025,0.0543,0.0069,0.00144,2.43805,3.88692,1.53454,0.0732593,0.000259308,0.000259308
8,8.47318,1.0034,2.01502,0.94197,0.00025,0.0543,0.01329,0.00357,2.35088,3.81338,1.52719,0.0692957,0.000295678,0.000295678
9,9.52027,0.95054,1.8819,0.91522,0.00025,0.0543,0.0157,0.00645,2.21784,3.75813,1.4685,0.0653315,0.00033152,0.00033152
10,10.5772,0.90782,1.8106,0.90012,0.00164,0.11029,0.0489,0.01902,1.81466,3.55148,1.29683,0.0613668,0.000366834,0.000366834
11,11.6964,0.89603,1.72781,0.89412,0.00176,0.11765,0.05302,0.02728,1.76464,3.52088,1.26711,0.0574016,0.00040162,0.00040162
12,12.8251,0.85812,1.65536,0.88292,0.00164,0.11765,0.06493,0.03473,1.66595,3.46305,1.22296,0.0534359,0.000435878,0.000435878
13,13.9496,0.852,1.61212,0.89032,0.00144,0.11765,0.08036,0.04205,1.49206,3.41314,1.13701,0.0494696,0.000469608,0.000469608
